Listing,ListPrice,Sold,Age,SquareFeet,Beds,Baths,County,Style,Construction,Garage,Roof
10001,202342,FALSE,4,2148,4,3,Passaic,Ranch,Brick,1 Car Attached,Shingle
10002,168504,FALSE,25,1625,2,1,Passaic,2 Story,Frame,1 Car Detached,Shaker
10003,232960,FALSE,27,2200,3,3,Passaic,Split Level,Stone,2 Car Attached,Composition
10004,109140,FALSE,17,1133,2,1,Passaic,Ranch,Brick,1 Car Attached,Tile
10005,224770,FALSE,11,2413,3,3,Passaic,Split Level,Frame,2 Car Detached,Slate
10006,269696,FALSE,6,2876,3,1,Passaic,Ranch,Stone,1 Car Detached,Shingle
10007,212592,FALSE,41,2119,3,2,Passaic,2 Story,Brick,Carport,Shaker
10008,136680,FALSE,12,1375,2,1,Passaic,Split Foyer,Frame,3 Car Attached,Composition
10009,227360,FALSE,4,2303,4,2,Passaic,Ranch,Stone,1 Car Detached,Tile
10010,179088,TRUE,4,1837,2,2,Passaic,Ranch,Brick,2 Car Detached,Tile
10011,233700,TRUE,25,2420,3,3,Passaic,2 Story,Frame,1 Car Detached,Slate
10012,198144,FALSE,3,2020,4,2,Passaic,Split Level,Brick,2 Car Attached,Slate
10013,270912,FALSE,4,2561,3,2,Passaic,Ranch,Frame,1 Car Attached,Shingle
10014,166800,FALSE,25,1598,2,1,Passaic,2 Story,Stone,2 Car Detached,Shaker
10015,168510,TRUE,27,1716,2,2,Passaic,Split Foyer,Brick,1 Car Detached,Composition
10016,138990,FALSE,17,1276,2,2,Passaic,Ranch,Frame,Carport,Tile
10017,249872,TRUE,11,2462,4,2,Passaic,Split Level,Stone,3 Car Attached,Slate
10018,205524,FALSE,6,2182,4,3,Passaic,Ranch,Brick,1 Car Detached,Shingle
10019,180180,TRUE,41,1896,2,1,Passaic,2 Story,Frame,2 Car Attached,Shaker
10020,228984,TRUE,4,2293,3,2,Passaic,Ranch,Brick,2 Car Detached,Tile
10021,208416,TRUE,12,1857,2,2,Passaic,Split Foyer,Stone,1 Car Attached,Composition
10022,226590,FALSE,3,2461,4,2,Passaic,Split Level,Frame,1 Car Detached,Slate
10023,275616,FALSE,4,2897,3,2,Passaic,Ranch,Stone,Carport,Shingle
10024,183312,FALSE,25,1721,2,1,Passaic,Ranch,Brick,3 Car Attached,Shaker
10025,176176,TRUE,4,1761,2,2,Passaic,Ranch,Brick,1 Car Attached,Shingle
10026,225720,FALSE,27,2070,3,1,Passaic,2 Story,Frame,1 Car Detached,Composition
10027,270655,TRUE,25,2733,4,2,Bergen,2 Story,Frame,1 Car Detached,Shaker
10028,129780,FALSE,2,1132,2,2,Bergen,2 Story,Frame,2 Car Attached,Slate
10029,263536,FALSE,17,2424,4,2,Bergen,2 Story,Stone,2 Car Attached,Tile
10031,219996,FALSE,2,2275,3,1,Bergen,Split Level,Brick,1 Car Attached,Slate
10032,258468,TRUE,6,2684,4,2,Bergen,Ranch,Frame,2 Car Detached,Shingle
