sex,age,exercise,innovation,user,try,train,cv
1,30~39,0,0.526585494,0,0,TRUE,0
0,10~19,1,0.930490393,0,1,FALSE,2
1,10~19,0,0.272419248,0,1,TRUE,3
0,20~29,1,0.936528725,0,1,TRUE,2
0,30~39,1,0.292953418,0,1,TRUE,0
1,30~39,0,0.178403932,0,0,FALSE,4
1,10~19,1,0.054142222,0,1,FALSE,3
0,30~39,1,0.259102718,0,0,TRUE,4
0,20~29,1,0.845043207,0,0,FALSE,1
0,10~19,1,0.831645273,1,0,TRUE,2
1,20~29,1,0.820604521,0,1,TRUE,0
0,30~39,1,0.669687873,0,0,TRUE,3
0,30~39,1,0.141664386,1,0,TRUE,2
0,30~39,0,0.005279952,0,1,TRUE,1
0,30~39,0,0.248791834,0,1,FALSE,4
1,30~39,1,0.737515584,0,1,TRUE,4
0,30~39,1,0.881295164,0,1,TRUE,0
1,30~39,1,0.912899945,1,1,FALSE,2
0,30~39,0,0.160717022,0,0,TRUE,2
0,10~19,1,0.772441254,0,1,FALSE,2
1,30~39,0,0.757937354,0,1,TRUE,0
1,10~19,0,0.505098277,0,1,TRUE,2
0,20~29,1,0.746660479,0,0,FALSE,1
0,20~29,1,0.588991201,0,0,TRUE,1
1,20~29,0,0.008093064,0,0,TRUE,1
0,30~39,1,0.90448246,0,1,TRUE,2
0,10~19,1,0.298997972,0,1,FALSE,1
1,10~19,0,0.50011317,0,1,TRUE,0
1,20~29,0,0.693571698,0,1,TRUE,1
1,30~39,1,0.790174819,1,1,FALSE,1
0,20~29,1,0.078671003,0,1,FALSE,0
0,20~29,1,0.190248308,0,1,FALSE,0
1,20~29,1,0.180299995,0,1,FALSE,3
0,30~39,0,0.790379991,0,0,TRUE,3
1,10~19,0,0.342266141,1,0,FALSE,1
0,10~19,0,0.396231215,0,1,FALSE,4
0,20~29,0,0.489969148,0,0,TRUE,3
1,30~39,1,0.263446358,1,1,TRUE,4
1,30~39,1,0.55358811,0,0,TRUE,4
1,20~29,1,0.952220248,0,1,TRUE,3
0,20~29,0,0.383474211,0,1,TRUE,3
0,20~29,1,0.190325854,0,0,TRUE,1
0,30~39,1,0.885209975,0,1,TRUE,0
1,10~19,1,0.884077834,1,1,TRUE,0
1,30~39,1,0.071869946,0,1,TRUE,4
1,30~39,1,0.487262954,0,1,FALSE,1
0,10~19,1,0.614984463,0,0,FALSE,1
1,20~29,1,0.397595954,0,1,TRUE,1
0,10~19,1,0.589518457,1,1,FALSE,1
1,10~19,1,0.23663536,0,1,TRUE,4
0,20~29,0,0.193170069,0,0,FALSE,2
0,10~19,0,0.96841981,0,0,TRUE,3
0,10~19,0,0.045449598,0,1,FALSE,2
1,30~39,1,0.034451269,1,1,FALSE,4
0,30~39,0,0.631191518,0,0,TRUE,4
1,30~39,0,0.136243394,1,1,TRUE,1
0,30~39,1,0.582968195,1,0,FALSE,3
1,20~29,1,0.570542511,0,1,TRUE,0
0,10~19,0,0.184820737,0,0,FALSE,3
0,20~29,1,0.779756072,0,0,TRUE,1
1,30~39,1,0.874205969,1,1,FALSE,2
1,20~29,1,0.761505447,0,1,TRUE,1
0,30~39,0,0.946069344,0,1,FALSE,0
1,10~19,0,0.257096485,0,1,FALSE,2
1,10~19,1,0.839420225,0,1,FALSE,2
0,30~39,0,0.275769872,0,1,TRUE,1
0,20~29,1,0.251220162,0,1,FALSE,1
1,20~29,0,0.105850189,0,1,TRUE,4
1,10~19,1,0.264245269,0,1,TRUE,0
1,20~29,1,0.187611717,0,1,TRUE,2
1,10~19,1,0.170269251,0,1,TRUE,1
