category,goal,pledged,funded,blurb_adj,blurb_noun,blurb_verb,blurb_total,full_adj,full_noun,full_verb,full_total,train
Games,15000,651,FALSE,0,0.285714286,0.071428571,14,0.073989321,0.142639207,0.176201373,1311,1
Film & Video,3000,3346,TRUE,0.071428571,0.5,0.071428571,14,0.066971081,0.170471842,0.170471842,657,1
Music,6200,0,FALSE,0.1,0.15,0.15,20,0.065789474,0.144736842,0.153508772,228,0
Crafts,250,327,TRUE,0.0625,0.125,0.125,16,0.077108434,0.146987952,0.190361446,415,0
Music,15000,15496,TRUE,0.125,0.083333333,0.083333333,24,0.087954111,0.151051625,0.114722753,523,1
Fashion,500,669,TRUE,0.055555556,0.277777778,0.166666667,18,0.054852321,0.109704641,0.156118143,237,0
Music,1200,1310,TRUE,0.083333333,0.125,0.083333333,24,0.03125,0.234375,0.21875,64,0
Games,700,260,FALSE,0.125,0,0.0625,16,0.086451613,0.130322581,0.185806452,775,1
Crafts,1500,2065,TRUE,0.095238095,0.285714286,0.19047619,21,0.103729604,0.215617716,0.148018648,858,0
Art,25000,339,FALSE,0.105263158,0.263157895,0.157894737,19,0.08627451,0.164705882,0.160784314,255,1
Art,1200,143,FALSE,0,0.666666667,0,3,0.117647059,0.211764706,0.211764706,85,1
Technology,4000,0,FALSE,0.038461538,0.192307692,0.153846154,26,0.109677419,0.129032258,0.206451613,155,1
Film & Video,10000,12645,TRUE,0.230769231,0.307692308,0.076923077,13,0.065517241,0.143103448,0.155172414,580,0
Art,50000,1065,FALSE,0,0.176470588,0.176470588,17,0.07028754,0.159744409,0.17571885,313,1
Publishing,250000,460,FALSE,0.095238095,0.19047619,0.19047619,21,0.087882823,0.175765646,0.174434088,751,0
Technology,1000000,0,FALSE,0.04,0.12,0.24,25,0.044736842,0.181578947,0.163157895,380,0
Technology,15000,0,FALSE,0.047619048,0.238095238,0.19047619,21,0.086956522,0.161490683,0.204968944,161,0
Theater,12500,19321,TRUE,0.142857143,0.142857143,0.095238095,21,0.086597938,0.146391753,0.14742268,970,0
Crafts,3000,3225.5,TRUE,0,0.117647059,0.294117647,17,0.099173554,0.173553719,0.123966942,242,0
Games,10000,2418,FALSE,0.095238095,0.19047619,0.095238095,21,0.078851413,0.14721969,0.153144941,2194,0
Music,5600,1099.77,FALSE,0.076923077,0.115384615,0.192307692,26,0.060786651,0.113230036,0.205005959,839,0
Film & Video,75000,30,FALSE,0.142857143,0.357142857,0,14,0.055555556,0.158730159,0.173015873,630,1
Technology,15000,19152,TRUE,0.19047619,0.333333333,0.047619048,21,0.123529412,0.179411765,0.155882353,340,0
Technology,3000,320,FALSE,0.047619048,0.19047619,0.238095238,21,0.06885759,0.184663537,0.187793427,639,0
Film & Video,25000,150,FALSE,0.130434783,0.217391304,0.173913043,23,0.068181818,0.164772727,0.170454545,352,1
Food,35000,2861,FALSE,0.227272727,0.363636364,0.090909091,22,0.062256809,0.13229572,0.225680934,257,1
Food,25000,11,FALSE,0.2,0.2,0.1,20,0.084768212,0.177483444,0.18410596,755,1
Music,10000,50,FALSE,0.041666667,0.333333333,0.125,24,0.074766355,0.168224299,0.140186916,107,1
Technology,3800,0,FALSE,0.083333333,0.25,0.166666667,24,0.048543689,0.150485437,0.218446602,206,1
Food,40000,0,FALSE,0.05,0.15,0.1,20,0.115168539,0.137640449,0.168539326,356,1
Games,3000,22934.3,TRUE,0,0,0,20,0.036363636,0.145454545,0.209090909,110,1
Fashion,3000,3066,TRUE,0,0.173913043,0.217391304,23,0.081803005,0.133555927,0.180300501,599,0
